"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10415081"	"1.95e-08"	"2.19e-12"	"-28.2596423"	"11.23514"	"-5.81675005"	""	""
"10520121"	"1.95e-08"	"2.19e-12"	"-28.2596423"	"11.23514"	"-5.81675005"	""	""
"10578405"	"1.95e-08"	"2.19e-12"	"-28.2596423"	"11.23514"	"-5.81675005"	""	""
"10586076"	"1.95e-08"	"2.19e-12"	"-28.2596423"	"11.23514"	"-5.81675005"	""	""
"10569972"	"4.05e-04"	"6.78e-08"	"-11.5950618"	"7.06249"	"-1.53424975"	"Cers4"	"ceramide synthase 4"
"10389717"	"4.05e-04"	"6.83e-08"	"-11.5874354"	"7.05795"	"-3.04497216"	""	""
"10557470"	"4.27e-04"	"8.40e-08"	"-11.3731727"	"6.92826"	"-2.08502009"	"Gdpd3"	"glycerophosphodiester phosphodiesterase domain containing 3"
"10355974"	"1.28e-03"	"2.87e-07"	"-10.1699086"	"6.12279"	"-1.35470837"	"Wdfy1"	"WD repeat and FYVE domain containing 1"
"10545198"	"1.80e-03"	"4.56e-07"	"-9.7458257"	"5.80451"	"-1.65418123"	"Igkv4-59///Igkv4-77///Igkv4-70///Igkv4-72///Igkv4-68///Igkc///Igkv19-93///Igkv4-59///Igkv4-80///Igkv4-70///Igkv4-68"	"immunoglobulin kappa variable 4-59///immunoglobulin kappa variable 4-77///immunoglobulin kappa chain variable 4-70///immunoglobulin kappa chain variable 4-72///immunoglobulin kappa variable 4-68///immunoglobulin kappa constant///immunoglobulin kappa chain variable 19-93///immunoglobulin kappa variable 4-59///immunoglobulin kappa variable 4-80///immunoglobulin kappa chain variable 4-70///immunoglobulin kappa variable 4-68"
"10596492"	"1.95e-03"	"5.49e-07"	"-9.578902"	"5.67385"	"-1.14860822"	"Parp3"	"poly (ADP-ribose) polymerase family, member 3"
"10495594"	"2.74e-03"	"8.48e-07"	"-9.1975271"	"5.36331"	"-1.56844235"	""	""
"10549222"	"5.00e-03"	"1.69e-06"	"8.6187732"	"4.8583"	"1.29158208"	"Bcat1"	"branched chain aminotransferase 1, cytosolic"
"10339602"	"6.71e-03"	"2.45e-06"	"-8.3143932"	"4.57533"	"-2.01578298"	""	""
"10545184"	"9.38e-03"	"3.69e-06"	"-7.9916657"	"4.26147"	"-1.50938262"	"Igkv4-59///Igkv4-70///Igkc///Igkv4-59///Igkv4-80"	"immunoglobulin kappa variable 4-59///immunoglobulin kappa chain variable 4-70///immunoglobulin kappa constant///immunoglobulin kappa variable 4-59///immunoglobulin kappa variable 4-80"
"10545101"	"9.70e-03"	"4.09e-06"	"-7.912127"	"4.18186"	"-1.02018685"	"Hpgds"	"hematopoietic prostaglandin D synthase"
"10538791"	"1.73e-02"	"7.81e-06"	"-7.4242694"	"3.67324"	"-1.23145913"	"Tnip3"	"TNFAIP3 interacting protein 3"
"10595529"	"1.90e-02"	"9.07e-06"	"-7.3134785"	"3.55272"	"-0.78276572"	"Cep162"	"centrosomal protein 162"
"10554463"	"2.33e-02"	"1.20e-05"	"-7.1084114"	"3.32461"	"-1.00069879"	"Hddc3"	"HD domain containing 3"
"10340266"	"2.33e-02"	"1.25e-05"	"7.0832103"	"3.29612"	"1.04996182"	""	""
"10429968"	"2.69e-02"	"1.52e-05"	"-6.9440682"	"3.13698"	"-1.50996404"	""	""
"10569429"	"2.75e-02"	"1.68e-05"	"-6.8702879"	"3.05133"	"-0.78903213"	"Cdkn1c"	"cyclin-dependent kinase inhibitor 1C (P57)"
"10416215"	"2.75e-02"	"1.79e-05"	"-6.826673"	"3.00029"	"-0.80680894"	"Gm21451///Loxl2"	"predicted gene, 21451///lysyl oxidase-like 2"
"10543835"	"2.75e-02"	"1.83e-05"	"-6.812591"	"2.98374"	"-0.76705758"	"Chchd3"	"coiled-coil-helix-coiled-coil-helix domain containing 3"
"10339828"	"2.75e-02"	"1.86e-05"	"-6.8004019"	"2.96939"	"-0.99520934"	""	""
"10403038"	"2.76e-02"	"1.96e-05"	"-6.7631655"	"2.9254"	"-0.77725043"	"Ighv1-72///LOC382693///Igh-VJ558///Ighv1-53///Ighv1-62///Ighv1-72///LOC382693///V165-D-J-C mu///Igh-VJ558"	"immunoglobulin heavy variable 1-72///immunoglobulin heavy chain-like///immunoglobulin heavy chain (J558 family)///immunoglobulin heavy variable 1-53///immunoglobulin heavy variable V1-62///immunoglobulin heavy variable 1-72///immunoglobulin heavy chain-like///IgM variable region///immunoglobulin heavy chain (J558 family)"
"10538150"	"2.76e-02"	"2.02e-05"	"-6.7426708"	"2.9011"	"-0.85837915"	"Tmem176a"	"transmembrane protein 176A"
"10545173"	"4.23e-02"	"3.25e-05"	"-6.4174397"	"2.50602"	"-1.87787519"	"Igkv10-96"	"immunoglobulin kappa variable 10-96"
"10457382"	"4.23e-02"	"3.37e-05"	"-6.3919628"	"2.47433"	"-0.5792985"	"Gjd4"	"gap junction protein, delta 4"
"10341801"	"4.23e-02"	"3.45e-05"	"-6.377234"	"2.45595"	"-1.67476361"	""	""
"10607484"	"4.37e-02"	"3.69e-05"	"-6.3324406"	"2.39984"	"-0.65698583"	"Ptchd1"	"patched domain containing 1"
"10340305"	"4.98e-02"	"4.34e-05"	"-6.2234259"	"2.26186"	"-1.32965163"	""	""
"10459288"	"6.36e-02"	"5.72e-05"	"-6.0420961"	"2.02785"	"-0.78801057"	"Adrb2"	"adrenergic receptor, beta 2"
"10358991"	"7.98e-02"	"7.41e-05"	"-5.8750294"	"1.80722"	"-0.59078475"	"BC034090"	"cDNA sequence BC034090"
"10487040"	"8.03e-02"	"7.75e-05"	"-5.8461833"	"1.76864"	"-0.48387772"	"Fbn1"	"fibrillin 1"
"10545196"	"8.03e-02"	"7.90e-05"	"-5.8334548"	"1.75157"	"-0.85512225"	"Igkv4-59///Igkv4-77///Igkv4-72///Igkv4-68///Igkc///Igkv4-59///Igkv4-80///Igkv4-68"	"immunoglobulin kappa variable 4-59///immunoglobulin kappa variable 4-77///immunoglobulin kappa chain variable 4-72///immunoglobulin kappa variable 4-68///immunoglobulin kappa constant///immunoglobulin kappa variable 4-59///immunoglobulin kappa variable 4-80///immunoglobulin kappa variable 4-68"
"10358222"	"8.31e-02"	"8.42e-05"	"-5.7932442"	"1.69745"	"-0.55864673"	""	""
"10596481"	"8.46e-02"	"8.81e-05"	"-5.7644247"	"1.6585"	"-0.78163063"	"Abhd14a"	"abhydrolase domain containing 14A"
"10514510"	"8.84e-02"	"9.44e-05"	"-5.7200801"	"1.59827"	"-0.60913716"	"Cyp2j6"	"cytochrome P450, family 2, subfamily j, polypeptide 6"
"10453216"	"8.87e-02"	"9.73e-05"	"-5.7013544"	"1.57274"	"-0.51136826"	"Thumpd2"	"THUMP domain containing 2"
"10593492"	"9.02e-02"	"1.03e-04"	"-5.6644911"	"1.5223"	"-0.74871865"	"Zc3h12c"	"zinc finger CCCH type containing 12C"
"10506170"	"9.02e-02"	"1.05e-04"	"-5.6523802"	"1.50567"	"-1.04873725"	"Efcab7"	"EF-hand calcium binding domain 7"
"10588495"	"9.02e-02"	"1.09e-04"	"-5.6315803"	"1.47706"	"-0.87025806"	"Dusp7"	"dual specificity phosphatase 7"
"10548307"	"9.02e-02"	"1.09e-04"	"-5.629096"	"1.47364"	"-0.628779"	"Klrb1c"	"killer cell lectin-like receptor subfamily B member 1C"
"10340211"	"9.87e-02"	"1.22e-04"	"5.5579235"	"1.37514"	"0.73262453"	""	""
"10545194"	"9.99e-02"	"1.30e-04"	"-5.5174417"	"1.31873"	"-1.05844192"	"Igkv4-59///Igkv4-59///Igkv4-80"	"immunoglobulin kappa variable 4-59///immunoglobulin kappa variable 4-59///immunoglobulin kappa variable 4-80"
"10541333"	"9.99e-02"	"1.32e-04"	"-5.5102044"	"1.30861"	"-0.88504082"	"Slc6a12"	"solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12"
"10435641"	"9.99e-02"	"1.34e-04"	"-5.5002793"	"1.29472"	"-0.56752687"	"Fstl1"	"follistatin-like 1"
"10338837"	"9.99e-02"	"1.38e-04"	"-5.4817887"	"1.2688"	"-0.69313362"	""	""
"10541605"	"9.99e-02"	"1.39e-04"	"-5.4775569"	"1.26286"	"-0.89689318"	"Clec4n"	"C-type lectin domain family 4, member n"
"10596637"	"9.99e-02"	"1.40e-04"	"-5.4713176"	"1.2541"	"-0.48825376"	"Mapkapk3"	"mitogen-activated protein kinase-activated protein kinase 3"
"10545190"	"1.04e-01"	"1.49e-04"	"-5.4357522"	"1.20402"	"-1.70872412"	""	""
"10521972"	"1.04e-01"	"1.52e-04"	"-5.4207294"	"1.1828"	"-0.54358807"	"Pcdh7"	"protocadherin 7"
"10566326"	"1.05e-01"	"1.56e-04"	"-5.4059861"	"1.16193"	"-0.49572594"	"Trim12a"	"tripartite motif-containing 12A"
